indicator_id,indicator_name,series_code,topic,source,aggregation_method
1,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,Health: Risk factors,UNAIDS estimates.,Unknown
2,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Unknown
3,Adults (ages 15+) living with HIV,SH.DYN.AIDS,Health: Risk factors,UNAIDS estimates.,Unknown
4,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Unknown
5,AIDS estimated deaths (UNAIDS estimates),SH.DYN.AIDS.DH,Health: Risk factors,UNAIDS estimates.,Unknown
6,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
7,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Weighted average
8,Children (0-14) living with HIV,SH.HIV.0014,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Unknown
9,Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,Health: Risk factors,"UNAIDS estimates, Joint United Nations Programme on HIV/AIDS (UNAIDS), uri: https://aidsinfo.unaids.org/, publisher: UNAIDS, date accessed: 2025-08-27, date published: 2025-07",Unknown
10,Children orphaned by HIV/AIDS,SH.HIV.ORPH,Health: Risk factors,UNAIDS estimates.,Unknown
