country_id,country_name,country_code,region,income_group
1,Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income
2,Africa Eastern and Southern,AFE,Aggregates,Aggregates
3,Africa Western and Central,AFW,Aggregates,Aggregates
4,Albania,ALB,Europe & Central Asia,Upper middle income
5,Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
6,American Samoa,ASM,East Asia & Pacific,High income
7,Andorra,AND,Europe & Central Asia,High income
8,Angola,AGO,Sub-Saharan Africa ,Lower middle income
9,Antigua and Barbuda,ATG,Latin America & Caribbean ,High income
10,Arab World,ARB,Aggregates,Aggregates
11,Argentina,ARG,Latin America & Caribbean ,Upper middle income
12,Armenia,ARM,Europe & Central Asia,Upper middle income
13,Aruba,ABW,Latin America & Caribbean ,High income
14,Australia,AUS,East Asia & Pacific,High income
15,Austria,AUT,Europe & Central Asia,High income
16,Azerbaijan,AZE,Europe & Central Asia,Upper middle income
17,"Bahamas, The",BHS,Latin America & Caribbean ,High income
18,Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income
19,Bangladesh,BGD,South Asia,Lower middle income
20,Barbados,BRB,Latin America & Caribbean ,High income
21,Belarus,BLR,Europe & Central Asia,Upper middle income
22,Belgium,BEL,Europe & Central Asia,High income
23,Belize,BLZ,Latin America & Caribbean ,Upper middle income
24,Benin,BEN,Sub-Saharan Africa ,Lower middle income
25,Bermuda,BMU,North America,High income
26,Bhutan,BTN,South Asia,Lower middle income
27,Bolivia,BOL,Latin America & Caribbean ,Lower middle income
28,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income
29,Botswana,BWA,Sub-Saharan Africa ,Upper middle income
30,Brazil,BRA,Latin America & Caribbean ,Upper middle income
31,British Virgin Islands,VGB,Latin America & Caribbean ,High income
32,Brunei Darussalam,BRN,East Asia & Pacific,High income
33,Bulgaria,BGR,Europe & Central Asia,High income
34,Burkina Faso,BFA,Sub-Saharan Africa ,Low income
35,Burundi,BDI,Sub-Saharan Africa ,Low income
36,Cabo Verde,CPV,Sub-Saharan Africa ,Upper middle income
37,Cambodia,KHM,East Asia & Pacific,Lower middle income
38,Cameroon,CMR,Sub-Saharan Africa ,Lower middle income
39,Canada,CAN,North America,High income
40,Caribbean small states,CSS,Aggregates,Aggregates
41,Cayman Islands,CYM,Latin America & Caribbean ,High income
42,Central African Republic,CAF,Sub-Saharan Africa ,Low income
43,Central Europe and the Baltics,CEB,Aggregates,Aggregates
44,Chad,TCD,Sub-Saharan Africa ,Low income
45,Channel Islands,CHI,Europe & Central Asia,High income
46,Chile,CHL,Latin America & Caribbean ,High income
47,China,CHN,East Asia & Pacific,Upper middle income
48,Colombia,COL,Latin America & Caribbean ,Upper middle income
49,Comoros,COM,Sub-Saharan Africa ,Lower middle income
50,"Congo, Dem. Rep.",COD,Sub-Saharan Africa ,Low income
51,"Congo, Rep.",COG,Sub-Saharan Africa ,Lower middle income
52,Costa Rica,CRI,Latin America & Caribbean ,High income
53,Cote d'Ivoire,CIV,Sub-Saharan Africa ,Lower middle income
54,Croatia,HRV,Europe & Central Asia,High income
55,Cuba,CUB,Latin America & Caribbean ,Upper middle income
56,Curacao,CUW,Latin America & Caribbean ,High income
57,Cyprus,CYP,Europe & Central Asia,High income
58,Czechia,CZE,Europe & Central Asia,High income
59,Denmark,DNK,Europe & Central Asia,High income
60,Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
61,Dominica,DMA,Latin America & Caribbean ,Upper middle income
62,Dominican Republic,DOM,Latin America & Caribbean ,Upper middle income
63,Early-demographic dividend,EAR,Aggregates,Aggregates
64,East Asia & Pacific,EAS,Aggregates,Aggregates
65,East Asia & Pacific (excluding high income),EAP,Aggregates,Aggregates
66,East Asia & Pacific (IDA & IBRD countries),TEA,Aggregates,Aggregates
67,Ecuador,ECU,Latin America & Caribbean ,Upper middle income
68,"Egypt, Arab Rep.",EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
69,El Salvador,SLV,Latin America & Caribbean ,Upper middle income
70,Equatorial Guinea,GNQ,Sub-Saharan Africa ,Upper middle income
71,Eritrea,ERI,Sub-Saharan Africa ,Low income
72,Estonia,EST,Europe & Central Asia,High income
73,Eswatini,SWZ,Sub-Saharan Africa ,Lower middle income
74,Ethiopia,ETH,Sub-Saharan Africa ,Not classified
